year,epi_week,url_www_mirror,note
2024,26,https://www.nih.org.pk/wp-content/uploads/2024/07/Weekly Report-26-2024.pdf,extracted (full build)
2024,27,https://www.nih.org.pk/wp-content/uploads/2024/07/Weekly Report-27-2024.pdf,extracted (full build)
2024,28,https://www.nih.org.pk/wp-content/uploads/2024/07/Weekly Report-28-2024.pdf,extracted (full build)
2024,29,https://www.nih.org.pk/wp-content/uploads/2024/08/Weekly Report-29-2024.pdf,extracted (full build)
2024,30,https://www.nih.org.pk/wp-content/uploads/2024/08/Weekly Report-30-2024.pdf,extracted (full build)
2024,31,https://www.nih.org.pk/wp-content/uploads/2024/08/Weekly Report-31-2024.pdf,extracted (full build)
2024,32,https://www.nih.org.pk/wp-content/uploads/2024/08/Weekly Report-32-2024.pdf,extracted (full build)
2024,33,https://www.nih.org.pk/wp-content/uploads/2024/08/Weekly_Report-33-2024.pdf,extracted (full build)
2024,34,https://www.nih.org.pk/wp-content/uploads/2024/09/Weekly_Report-34-2024.pdf,extracted (full build)
2024,35,https://www.nih.org.pk/wp-content/uploads/2024/09/Weekly_Report-35-2024.pdf,extracted (full build)
2024,36,https://www.nih.org.pk/wp-content/uploads/2024/09/Weekly_Report-36-2024.pdf,extracted (full build)
2024,37,https://www.nih.org.pk/wp-content/uploads/2024/10/Weekly_Report-37-2024.pdf,extracted (full build)
2024,38,https://www.nih.org.pk/wp-content/uploads/2024/10/Weekly_Report-38-2024.pdf,extracted (full build)
2024,39,https://www.nih.org.pk/wp-content/uploads/2024/10/Weekly_Report-39-2024.pdf,extracted (full build)
2024,40,https://www.nih.org.pk/wp-content/uploads/2024/10/Weekly_Report-40-2024.pdf,extracted (full build)
2024,41,https://www.nih.org.pk/wp-content/uploads/2024/10/Weekly_Report-41-2024.pdf,extracted (full build)
2024,42,https://www.nih.org.pk/wp-content/uploads/2024/11/Weekly_Report-42-2024.pdf,extracted (full build)
2024,43,https://www.nih.org.pk/wp-content/uploads/2024/11/Weekly_Report-43-2024.pdf,extracted (full build)
2024,44,https://www.nih.org.pk/wp-content/uploads/2024/11/Weekly_Report-44-2024 .pdf,extracted (full build)
2024,45,https://www.nih.org.pk/wp-content/uploads/2024/12/Weekly_Report-45-2024.pdf,extracted (feasibility-check sample)
2024,46,https://www.nih.org.pk/wp-content/uploads/2024/12/Weekly_Report-46-2024.pdf,extracted (full build)
