condition_group,horizon,n,mean_delta,ci_low,ci_high,mask_MAE,ipw_MAE
complete_six,1,8430,-0.025216823185001336,-0.06098073281595719,0.007021061287670513,43.1409701280399,43.16618695122491
complete_six,2,7986,0.0019286296190056972,-0.03352735404937856,0.03689110218549191,43.9867997862461,43.984871156627094
complete_six,4,7104,-0.010388408006843604,-0.06225391224768027,0.04062575242818154,45.664748826591484,45.675137234598324
rotating_stress,1,5614,-0.20461728666069826,-0.311966234472599,-0.10419177862559774,7.092724149276389,7.2973414359370885
rotating_stress,2,5318,-0.2272041600834401,-0.33997147788797755,-0.12109233782240648,7.191237369901134,7.418441529984574
rotating_stress,4,4734,-0.2551266685183978,-0.38471827080652243,-0.13205798171307653,7.187059574179739,7.4421862426981376
