mechanism,rate,horizon,n_condition_district_clusters,n_targets_across_repeats,zero_MAE,aware_MAE,delta_zero_minus_aware,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,share_clusters_aware_better
block,0.1,1,222,88740,47.909420779806176,47.417489294568405,0.49193148523777097,0.2794172297297297,0.7921154279279277,0.6306306306306306
block,0.2,1,222,88740,48.35130718954248,47.500619788145144,0.8506874013973373,0.5426807432432432,1.1948189752252243,0.7252252252252253
block,0.4,1,222,88740,49.69020734730674,47.8236646382691,1.8665427090376383,1.1147872658843057,2.73816964497392,0.7162162162162162
block,0.6,1,222,88740,50.78184584178499,48.16333107955826,2.618514762226731,1.5900855263157894,3.867525026671405,0.6756756756756757
block,0.8,1,222,88740,51.86396213657877,48.8493013297273,3.0146608068514738,1.793144084874348,4.491873192271216,0.6261261261261262
block,0.1,2,222,88740,55.81934865900383,54.67780031552851,1.1415483434753213,0.6088637387387388,1.9004496058558553,0.6576576576576577
block,0.2,2,222,88740,56.54994365562317,54.85519495154384,1.6947487040793305,1.0802660472972974,2.3815644707207206,0.7027027027027027
block,0.4,2,222,88740,59.03423484336263,55.44704755465405,3.5871872887085843,2.199254104433381,5.316596565315314,0.7117117117117117
block,0.6,2,222,88740,61.27870182555781,56.08649988731125,5.192201938246562,3.1963051801801803,7.557381979018488,0.6711711711711712
block,0.8,2,222,88740,63.36911201262114,57.513319810682894,5.855792201938243,3.5759783220720727,8.664888602418205,0.6081081081081081
block,0.1,4,222,88740,61.332386747802566,59.31902186161821,2.0133648861843554,1.030001111308677,3.2898180120910383,0.6396396396396397
block,0.2,4,222,88740,62.305792201938246,59.350856434527834,2.9549357674104115,1.7951219920578478,4.300592401612139,0.6486486486486487
block,0.4,4,222,88740,66.0512057696642,59.97952445345955,6.071681316204646,3.390351869962067,9.625593379563773,0.6396396396396397
block,0.6,4,222,88740,68.84506423258959,60.45983772819473,8.385226504394865,4.596177290777621,12.582968098032243,0.5765765765765766
block,0.8,4,222,88740,71.80970250169032,63.30251295920667,8.507189542483651,4.579951917377905,13.260836489449977,0.527027027027027
mcar,0.1,1,222,88740,47.81360153256705,47.356400721208026,0.4572008113590229,0.2700869932432432,0.6807812499999999,0.6126126126126126
mcar,0.2,1,222,88740,48.277169258508,47.37920892494929,0.8979603335587143,0.5644881460407776,1.270668859649123,0.7072072072072072
mcar,0.4,1,222,88740,49.50707685373,47.541322965968,1.9657538877619984,1.2614955547652915,2.7776998133001425,0.7432432432432432
mcar,0.6,1,222,88740,50.812801442416045,47.76967545638945,3.0431259860265953,1.9160953799193932,4.449607485775249,0.7567567567567568
mcar,0.8,1,222,88740,51.82218841559612,48.28578994816317,3.536398467432953,2.198087852655287,4.959188581673772,0.7072072072072072
mcar,0.1,2,222,88740,55.378352490421456,54.628352490421456,0.75,0.45723907954006643,1.0897539414414414,0.6981981981981982
mcar,0.2,2,222,88740,56.56883029073698,54.88017804823079,1.688652242506194,1.077630319464201,2.4498532628022756,0.7117117117117117
mcar,0.4,2,222,88740,58.869247239125535,55.17663962136579,3.692607617759748,2.3599310247747742,5.231007601351351,0.7162162162162162
mcar,0.6,2,222,88740,61.44231462700022,55.533141762452104,5.909172864548118,3.627302216690375,8.533063329777145,0.7387387387387387
mcar,0.8,2,222,88740,63.478476448050486,56.42157989632635,7.056896551724137,4.4348736664295885,10.137728677690847,0.7072072072072072
mcar,0.1,4,222,88740,60.62340545413568,59.29979716024341,1.3236082938922706,0.8550579658605975,1.9003314366998576,0.6666666666666666
mcar,0.2,4,222,88740,62.25032679738562,59.53891142663962,2.7114153707459963,1.6787247214319583,3.847307699146514,0.6846846846846847
mcar,0.4,4,222,88740,65.46686950642327,59.45778679287807,6.009082713545197,3.768233108108108,8.64141356981982,0.6756756756756757
mcar,0.6,4,222,88740,69.10832769889565,59.37097137705657,9.73735632183908,5.921823064841158,14.1207850580844,0.6711711711711712
mcar,0.8,4,222,88740,72.2369168356998,60.408485463150775,11.828431372549026,7.036561373873874,17.219576132053106,0.6081081081081081
value_dependent,0.1,1,222,88740,47.83540680640072,47.33789722785666,0.4975095785440615,0.26678265765765763,0.8013764076576573,0.44594594594594594
value_dependent,0.2,1,222,88740,48.26511156186613,47.364953797611,0.9001577642551268,0.5683248873873876,1.2958797860360354,0.5495495495495496
value_dependent,0.4,1,222,88740,49.764345278341224,47.61961911201262,2.144726166328603,1.2666182432432433,3.236708896396396,0.6531531531531531
value_dependent,0.6,1,222,88740,51.1070092404778,48.090511606941625,3.0164976335361757,1.8099988738738741,4.3623634572072065,0.7027027027027027
value_dependent,0.8,1,222,88740,52.598602659454585,48.9148861843588,3.6837164750957854,2.2826661036036047,5.370278153153154,0.7522522522522522
value_dependent,0.1,2,222,88740,55.5193599278792,54.66677935542033,0.8525805724588693,0.5086649922949266,1.272525900900901,0.5585585585585585
value_dependent,0.2,2,222,88740,56.47808203741267,54.77843137254902,1.699650664863647,1.0181694523470841,2.6034709726173544,0.6306306306306306
value_dependent,0.4,2,222,88740,58.96062654947036,55.19444444444444,3.766182105025919,2.2198879208155526,5.68688840979137,0.7072072072072072
value_dependent,0.6,2,222,88740,62.07261663286004,56.00919540229885,6.06342123056119,3.5892139639639637,8.976334177927926,0.7567567567567568
value_dependent,0.8,2,222,88740,64.74046653144016,57.317455487942304,7.4230110434978585,4.664579391891893,11.019818693693693,0.7432432432432432
value_dependent,0.1,4,222,88740,60.14879423033581,59.20893621816543,0.939858012170383,0.5335630186107161,1.4239211711711701,0.5585585585585585
value_dependent,0.2,4,222,88740,61.4341784989858,59.13816768086545,2.296010818120351,1.3646708896396398,3.4719814337363677,0.6486486486486487
value_dependent,0.4,4,222,88740,64.0465967996394,59.17883705206221,4.867759747577196,2.687625563063063,7.552195768136555,0.6981981981981982
value_dependent,0.6,4,222,88740,67.84959432048682,59.154980842911876,8.69461347757494,4.892758445945946,12.863949042792791,0.7567567567567568
