condition_group,horizon,model,n,mean_delta,ci_low,ci_high,zero_MAE,aware_MAE
complete_six,1,lightgbm_mask,4215,-1.1053873992467833,-1.6207639897765567,-0.5457603426940663,43.34519743158331,44.45058483083008
complete_six,2,lightgbm_mask,3993,-0.6907439318671057,-1.2842032871374813,-0.12126611428916115,44.27322478308412,44.96396871495122
complete_six,4,lightgbm_mask,3552,-0.8604279945811263,-1.5773407197070868,-0.17264161589629456,46.29621351494094,47.15664150952207
complete_six,1,lightgbm_nomask,4215,-0.7821524917363575,-1.317768844522243,-0.2369047396536928,43.65687933749309,44.43903182922946
complete_six,2,lightgbm_nomask,3993,-0.6263386536626616,-1.2349799510369042,-0.0680978966012409,44.362567338810706,44.98890599247337
complete_six,4,lightgbm_nomask,3552,-0.8201012765418725,-1.4526816576740145,-0.1998812519109768,46.17993592226786,47.00003719880972
complete_six,1,negbin_mask,4215,83.20266714682188,56.056709986549286,118.56099197219164,193.6416280010559,110.43896085423397
complete_six,2,negbin_mask,3993,88.44233968913856,58.67397776673237,126.99804061965506,200.3146045858035,111.87226489666492
complete_six,4,negbin_mask,3552,-0.03333469593309692,-0.11996241871140162,0.04139284053235088,116.27417650738894,116.30751120332205
complete_six,1,poisson_mask,4215,-0.020904701851424286,-0.06274251531838215,0.019517895346495343,110.41805615238255,110.43896085423397
complete_six,2,poisson_mask,3993,-0.016695524042281105,-0.06313574278981704,0.026572016521478913,111.85556937262264,111.87226489666492
complete_six,4,poisson_mask,3552,-0.03333469593309692,-0.11996241871140162,0.04139284053235088,116.27417650738894,116.30751120332205
complete_six,1,random_forest_mask,4215,-0.061429072354252594,-0.3399285486544795,0.22665753747933223,44.92634744493468,44.98777651728893
complete_six,2,random_forest_mask,3993,-0.02909601992065021,-0.3541252714410586,0.2736723302587651,45.92862341213555,45.9577194320562
complete_six,4,random_forest_mask,3552,0.3505904072582621,0.0067875281006943905,0.6626576721465139,48.30821568116136,47.95762527390309
complete_six,1,ridge_mask,4215,-24.12659281446613,-25.16130208795171,-23.16793457444237,152.15652423703222,176.28311705149838
complete_six,2,ridge_mask,3993,-23.80300062183698,-24.834836455261005,-22.840400127083576,152.2775189274841,176.0805195493211
complete_six,4,ridge_mask,3552,-23.152043885889743,-24.214888338433997,-22.155470655424836,153.07617731479593,176.22822120068565
rotating_stress,1,lightgbm_mask,2807,0.21599213590596986,0.0138959394252357,0.41054319930760336,7.403721644770213,7.187729508864243
rotating_stress,2,lightgbm_mask,2659,0.2943557554447751,0.09005029873286917,0.5169520848650466,7.505504222651288,7.211148467206513
rotating_stress,4,lightgbm_mask,2367,0.20148189340839293,-0.013950286312253422,0.4100304483168461,7.4123432341098905,7.210861340701497
rotating_stress,1,lightgbm_nomask,2807,0.2539628123316777,0.04803763514575749,0.4634836981465047,7.503930326738751,7.249967514407073
rotating_stress,2,lightgbm_nomask,2659,0.2983309576952106,0.08311472922609388,0.5291592209613271,7.578394003144998,7.280063045449789
rotating_stress,4,lightgbm_nomask,2367,0.20100640344374374,-0.013727966640409397,0.4143123211981476,7.475220620000121,7.274214216556376
rotating_stress,1,negbin_mask,2807,4.083066151648807,2.343221587603997,6.10584253129082,19.10770784935151,15.024641697702705
rotating_stress,2,negbin_mask,2659,4.038610056883441,2.3058173931125436,5.970904902973808,18.966563083643834,14.927953026760393
rotating_stress,4,negbin_mask,2367,3.8871780285699615,2.0955510272867763,5.9932695016207855,18.47999823151871,14.592820202948754
rotating_stress,1,poisson_mask,2807,0.2969401665884505,0.05162874550557337,0.5667779173715628,15.321581864291153,15.024641697702705
rotating_stress,2,poisson_mask,2659,0.2617769499711616,0.013283430787709284,0.5198367889179604,15.189729976731554,14.927953026760393
rotating_stress,4,poisson_mask,2367,0.2004360776528452,-0.06179501663229503,0.4635016758888865,14.793256280601593,14.592820202948754
rotating_stress,1,random_forest_mask,2807,0.33381263109916703,0.17069332943860258,0.5037984301474445,7.189869158463467,6.8560565273643
rotating_stress,2,random_forest_mask,2659,0.4267290185349579,0.24053818519649084,0.6140307260177607,7.298849182207703,6.872120163672745
rotating_stress,4,random_forest_mask,2367,0.4962400987994539,0.2982577935908487,0.6984280294066756,7.444432347687759,6.9481922488883034
rotating_stress,1,ridge_mask,2807,-4.138929806401617,-4.287525822238026,-3.987376041506028,14.183701834740276,18.322631641141893
rotating_stress,2,ridge_mask,2659,-4.12979714069344,-4.2764960956506215,-3.977666982723773,14.29959124749197,18.42938838818541
rotating_stress,4,ridge_mask,2367,-4.002424499197096,-4.155537061865716,-3.837351004814183,14.487599457239838,18.490023956436936
