duration,duration_sq,log1p_volume_at_spell_start,hazard_at_median_volume
1,1,5.796057750765372,0.1951530188845676
2,4,5.796057750765372,0.1774405044220942
3,9,5.796057750765372,0.16120418802421063
4,16,5.796057750765372,0.14636523078355573
5,25,5.796057750765372,0.13283816710581017
6,36,5.796057750765372,0.12053405718473605
7,49,5.796057750765372,0.10936305189115648
8,64,5.796057750765372,0.09923640814671986
9,81,5.796057750765372,0.09006801249717067
10,100,5.796057750765372,0.08177548007534423
11,121,5.796057750765372,0.07428089819132258
12,144,5.796057750765372,0.0675112808339575
13,169,5.796057750765372,0.06139879438761908
14,196,5.796057750765372,0.05588080735438095
15,225,5.796057750765372,0.05089980888202892
16,256,5.796057750765372,0.04640323312716282
17,289,5.796057750765372,0.04234321934502396
18,324,5.796057750765372,0.03867633130455882
19,361,5.796057750765372,0.035363254250066846
20,400,5.796057750765372,0.032368483151693606
