condition_group,horizon,n,mean_delta,ci_low,ci_high,mask_MAE,prop_MAE
complete_six,1,8430,0.9126852571335939,0.4015023786881741,1.4358991403218337,43.1409701280399,42.22828487090631
complete_six,2,7986,0.7695260696374534,0.2425735424210844,1.2742467651112301,43.9867997862461,43.21727371660866
complete_six,4,7104,1.353553254645504,0.7696157053874079,1.9709934454603173,45.66474882659148,44.31119557194598
rotating_stress,1,5614,0.05749941671962916,0.007410167106262778,0.10857005181176597,7.092724149276389,7.03522473255676
rotating_stress,2,5318,0.07460905253300254,0.02842896080327182,0.12210340856520834,7.191237369901134,7.116628317368132
rotating_stress,4,4734,0.111118330108637,0.06282798621872318,0.15975093907733598,7.187059574179739,7.075941244071104
